audit_scope,audit_date,numeric_id,qc_id,resource_id,title,publisher,source_type,primary_focus_area,additional_focus_areas,focus_areas,workflow_references,canonical_url,final_url,verification_date,url_status,currency_status,archived_status,duplicate_status,directory_status,qc_disposition,human_review_reason,notes
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,14,CT11,ct-municipal-stormwater-program,Municipal Stormwater — Program & Reissuance Gateway,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,municipal-stormwater,https://portal.ct.gov/DEEP/Water-Regulating-and-Discharges/Stormwater/Municipal-Stormwater,https://portal.ct.gov/DEEP/Water-Regulating-and-Discharges/Stormwater/Municipal-Stormwater,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS WITH NOTE,,Current administrative-continuation status is explicitly documented in canonical metadata.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,15,CT12,ct-construction-stormwater-general-permit,General Permit for the Discharge of Stormwater from Construction Activities,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/construction/december-2025-reissuance-docs/2026-01-01-construction-stormwater-general-permit-final.pdf?rev=c9f351bc14cb49e1b80eba48b6fed942&hash=7E7D84CB5E9A1E18DA814BBCC703323B,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/construction/december-2025-reissuance-docs/2026-01-01-construction-stormwater-general-permit-final.pdf?rev=c9f351bc14cb49e1b80eba48b6fed942&hash=7E7D84CB5E9A1E18DA814BBCC703323B,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,16,CT13,ct-soil-erosion-sediment-control-guidelines,CT Guidelines for Soil Erosion and Sediment Control (2023),Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater,https://portal.ct.gov/-/media/DEEP/water/water_quality_management/Guidance/SESCG_2023_1_2.pdf,https://portal.ct.gov/-/media/DEEP/water/water_quality_management/Guidance/SESCG_2023_1_2.pdf,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,17,CT14,ct-industrial-stormwater-program,Industrial Stormwater General Permit — Program Gateway,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,industrial-stormwater,https://portal.ct.gov/DEEP/Water-Regulating-and-Discharges/Stormwater/Industrial-Stormwater-GP,https://portal.ct.gov/DEEP/Water-Regulating-and-Discharges/Stormwater/Industrial-Stormwater-GP,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,18,CT15,ct-stormwater-quality-manual,2024 Connecticut Stormwater Quality Manual,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater; municipal-stormwater,https://portal.ct.gov/DEEP/Water-Regulating-and-Discharges/Stormwater/Stormwater-Manual,https://portal.ct.gov/DEEP/Water-Regulating-and-Discharges/Stormwater/Stormwater-Manual,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,19,CT16,ct-stormwater-quality-manual-interactive,CT Stormwater Quality Manual - Online Interactive Version,University of Connecticut NEMO,government-agency,Stormwater,,Stormwater,,https://ctstormwatermanual.nemo.uconn.edu/,https://ctstormwatermanual.nemo.uconn.edu/,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,20,CT17,ct-stormwater-program,Stormwater — CT DEEP Main Page,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,,https://portal.ct.gov/deep/water-regulating-and-discharges/stormwater/,https://portal.ct.gov/deep/water-regulating-and-discharges/stormwater/,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,23,CT18,ct-release-characterization-guidance,Release Characterization Guidance,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Site Remediation,Site Assessment; Site Remediation,phase-ii-esa; release-discovery-cleanup-entry; vapor-intrusion,https://portal.ct.gov/-/media/deep/site_clean_up/guidance/release-characterization-guidance.pdf?rev=35628d59faac44289fa305f4d1323630&hash=823A15CB954B613DDCBDE815A09D13A9,https://portal.ct.gov/-/media/deep/site_clean_up/guidance/release-characterization-guidance.pdf?rev=35628d59faac44289fa305f4d1323630&hash=823A15CB954B613DDCBDE815A09D13A9,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,24,CT19,ct-react-tracker,"REACT — Release, Environmental Assessment & Cleanup Tracker",Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Site Remediation,Site Assessment; Site Remediation,phase-i-esa; release-discovery-cleanup-entry,https://deep-react.service.ct.gov/s/,https://deep-react.service.ct.gov/s/,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,HUMAN REVIEW,Automated checks confirm the REACT application shell but cannot exercise authenticated case and submission functions.,Destination is authoritative and returned HTTP 200.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,30,CT21,ct-brownfields-program,Brownfields Program — Main Page,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,,Site Assessment,,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Brownfields,https://portal.ct.gov/DEEP/Remediation--Site-Clean-Up/Brownfields,"August 3, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,31,CT22,ct-rbcr-official-regulations,Release-Based Cleanup Regulations — Official Regulatory Text,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,Site Assessment,Site Remediation; Site Assessment,phase-ii-esa; release-discovery-cleanup-entry; vapor-intrusion,https://eregulations.ct.gov/eRegsPortal/Browse/RCSA/Title_22aSubtitle_22a-134tt/,https://eregulations.ct.gov/eRegsPortal/Browse/RCSA/Title_22aSubtitle_22a-134tt/,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,32,CT23,ct-rbcr-cleanup-standards,RBCR Cleanup Standards,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,Site Assessment,Site Remediation; Site Assessment,vapor-intrusion,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/cleanup-standards,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/cleanup-standards,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,33,CT24,ct-rbcr-compliance-measures,RBCR Compliance Measures and Variances,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,Site Assessment,Site Remediation; Site Assessment,vapor-intrusion,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/rbcr-compliance-measures,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/rbcr-compliance-measures,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,34,CT25,ct-rbcr-release-tiers,Release Tiers,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,release-discovery-cleanup-entry,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/tiers,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/tiers,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,35,CT26,ct-significant-existing-releases-immediate-actions,Significant Existing Releases and Immediate Actions,Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,release-discovery-cleanup-entry,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/significant-existing-releases-and-immediate-actions,https://portal.ct.gov/deep/remediation--site-clean-up/release-based-cleanup-program/significant-existing-releases-and-immediate-actions,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,36,CT27,ct-react-resources-instructions,REACT Resources and Instructions,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Site Remediation,Site Assessment; Site Remediation,,https://portal.ct.gov/deep/remediation--site-clean-up/guidance/react-resources-and-instructions,https://portal.ct.gov/deep/remediation--site-clean-up/guidance/react-resources-and-instructions,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,37,CT28,ct-environmental-use-restrictions,Environmental Use Restrictions (EURs),Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/deep/remediation--site-clean-up/environmental-use-restrictions/environmental-use-restrictions,https://portal.ct.gov/deep/remediation--site-clean-up/environmental-use-restrictions/environmental-use-restrictions,"August 4, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,38,CT29,ct-environmental-cleanup-map-viewer,Environmental Cleanup Comprehensive Map Viewer,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Site Remediation,Site Assessment; Site Remediation,phase-i-esa,https://experience.arcgis.com/experience/82cf4f0c1c58446d80b1a5a9381b5e16,https://experience.arcgis.com/experience/82cf4f0c1c58446d80b1a5a9381b5e16,"August 11, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,HUMAN REVIEW,"Automated checks can confirm only the ArcGIS application shell, not map-layer behavior or data currency.",Destination is authoritative and returned HTTP 200.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,39,CT30,ct-pfas-program,Per- and Polyfluoroalkyl Substances (PFAS),Connecticut Department of Energy and Environmental Protection,government-agency,Site Remediation,,Site Remediation,,https://portal.ct.gov/deep/remediation--site-clean-up/contaminants-of-emerging-concern/deep-pfas-homepage,https://portal.ct.gov/deep/remediation--site-clean-up/contaminants-of-emerging-concern/deep-pfas-homepage,"August 4, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,40,CT31,ct-industrial-stormwater-swppp-framework,Industrial Stormwater Pollution Prevention Plan (SWPPP) Framework,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,industrial-stormwater,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/industrial/2025-permit-documents/2025-10-01-igp-swppp-framework.docx?rev=6f63d31cc6e64754bf9970a030de27ab&hash=46424F29ADD2AF42964DB903C5158516,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/industrial/2025-permit-documents/2025-10-01-igp-swppp-framework.docx?rev=6f63d31cc6e64754bf9970a030de27ab&hash=46424F29ADD2AF42964DB903C5158516,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,41,CT32,ct-contaminated-sites-dataset,Contaminated or Potentially Contaminated Sites,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Site Remediation,Site Assessment; Site Remediation,phase-i-esa,https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/xcxg-6jqp/about_data,https://data.ct.gov/Environment-and-Natural-Resources/List-of-Contaminated-or-Potentially-Contaminated-S/xcxg-6jqp/about_data,"August 11, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,42,CT33,ct-deep-document-esearch,CT DEEP Document eSearch,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,,Site Assessment,phase-i-esa,https://filings.deep.ct.gov/DEEPDocumentSearchPortal/,https://filings.deep.ct.gov/DEEPDocumentSearchPortal/,"August 11, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,43,CT34,ct-ust-facility-tank-details,Underground Storage Tanks — Facility and Tank Details,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Tanks & Oil,Site Assessment; Tanks & Oil,phase-i-esa; ust-registration-compliance,https://data.ct.gov/Environment-and-Natural-Resources/Underground-Storage-Tanks-USTs-Facility-and-Tank-D/utni-rddb,https://data.ct.gov/Environment-and-Natural-Resources/Underground-Storage-Tanks-USTs-Facility-and-Tank-D/utni-rddb,"August 16, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS WITH NOTE,,Interactive government dataset resolved; automated content inspection is limited.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,44,CT35,ct-ust-release-records,Releases from Federally Regulated Underground Storage Tank Systems,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Tanks & Oil; Site Remediation,Site Assessment; Tanks & Oil; Site Remediation,phase-i-esa,https://data.ct.gov/Environment-and-Natural-Resources/Releases-from-Federally-Regulated-Underground-Stor/yc6z-jrb5/about_data,https://data.ct.gov/Environment-and-Natural-Resources/Releases-from-Federally-Regulated-Underground-Stor/yc6z-jrb5/about_data,"August 11, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS WITH NOTE,,Interactive government dataset resolved; automated content inspection is limited.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,45,CT36,ct-brownfields-inventory,Connecticut Brownfields Inventory,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,Site Remediation,Site Assessment; Site Remediation,phase-i-esa,https://portal.ct.gov/deep/remediation--site-clean-up/brownfields/brownfields-site-inventory,https://portal.ct.gov/deep/remediation--site-clean-up/brownfields/brownfields-site-inventory,"August 11, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS WITH NOTE,,Current gateway intentionally supports historical brownfield records.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,46,CT37,ct-deep-quality-assurance-quality-control,Quality Assurance and Quality Control,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,,Site Assessment,phase-ii-esa; vapor-intrusion,https://portal.ct.gov/deep/remediation--site-clean-up/guidance/quality-assurance-and-quality-control,https://portal.ct.gov/deep/remediation--site-clean-up/guidance/quality-assurance-and-quality-control,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,47,CT38,ct-data-quality-assessment-usability-evaluation,Data Quality Assessment and Data Usability Evaluation Guidance Document,Connecticut Department of Energy and Environmental Protection,government-agency,Site Assessment,,Site Assessment,phase-ii-esa,https://portal.ct.gov/-/media/deep/site_clean_up/guidance/qaqc/dqadueguidancepdf.pdf?rev=48d9eede9f5948dba2fa2469494e2a34&hash=28B1C03950885DE452E57D0BC5D67FFA,https://portal.ct.gov/-/media/deep/site_clean_up/guidance/qaqc/dqadueguidancepdf.pdf?rev=48d9eede9f5948dba2fa2469494e2a34&hash=28B1C03950885DE452E57D0BC5D67FFA,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,48,CT39,ct-environmental-laboratory-certification,Environmental Laboratory Certification,Connecticut Department of Public Health,government-agency,Site Assessment,Waste & Materials,Site Assessment; Waste & Materials,phase-ii-esa; waste-characterization,https://portal.ct.gov/dph/environmental-health/environmental-laboratory-certification/environmental-laboratory-certification,https://portal.ct.gov/dph/environmental-health/environmental-laboratory-certification/environmental-laboratory-certification,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,49,CT40,ct-construction-stormwater-program,Construction Stormwater General Permit Program,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater,https://portal.ct.gov/deep/water-regulating-and-discharges/stormwater/construction-stormwater-gp,https://portal.ct.gov/deep/water-regulating-and-discharges/stormwater/construction-stormwater-gp,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,50,CT41,ct-ezfile-construction-stormwater,ezFile — Construction Stormwater Application Portal,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater,https://filings.deep.ct.gov/deepportal/account/logindetails,https://filings.deep.ct.gov/deepportal/account/logindetails,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,HUMAN REVIEW,Automated checks reach the generic authenticated ezFile login shell but cannot verify the construction-stormwater filing path after login.,Destination is authoritative and returned HTTP 200.
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,51,CT42,ct-construction-stormwater-application-guide,Construction Stormwater Application User Guide,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/construction/december-2025-reissuance-docs/construction-sw-gp-application-guidance.docx?rev=19303b58acf540f68a9bddc913924ea5&hash=8499244F0E0BA0059FFF24C573FB84E1,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/construction/december-2025-reissuance-docs/construction-sw-gp-application-guidance.docx?rev=19303b58acf540f68a9bddc913924ea5&hash=8499244F0E0BA0059FFF24C573FB84E1,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,52,CT43,ct-construction-dewatering-monitoring-guide,Turbidity Monitoring and Inspection Guide for Construction Dewatering,Connecticut Department of Energy and Environmental Protection,government-agency,Stormwater,,Stormwater,construction-stormwater,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/construction/december-2025-reissuance-docs/dewatering-monitoring-and-inspection-guidance-march-2026.pdf?rev=1a44dc851d2f417693f804c33d5567b1&hash=8FDD62080E91C68F7B8CB13ADC79B9A6,https://portal.ct.gov/-/media/deep/water_regulating_and_discharges/stormwater/construction/december-2025-reissuance-docs/dewatering-monitoring-and-inspection-guidance-march-2026.pdf?rev=1a44dc851d2f417693f804c33d5567b1&hash=8FDD62080E91C68F7B8CB13ADC79B9A6,"August 12, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,53,CT44,ct-hazardous-waste-regulations,Connecticut Hazardous Waste Regulations,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,,Waste & Materials,hazardous-waste-generator-compliance; waste-characterization,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste-regs/hazardous-waste-regulations,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste-regs/hazardous-waste-regulations,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,54,CT45,ct-rcra-help,RCRA Help,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,,Waste & Materials,hazardous-waste-generator-compliance,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/rcra-help,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/rcra-help,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,55,CT46,ct-hazardous-waste-determinations,Hazardous Waste Determinations and Knowledge of Process,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,,Waste & Materials,hazardous-waste-generator-compliance; waste-characterization,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/hazardous-waste-determinations,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/hazardous-waste-determinations,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,56,CT47,ct-hazardous-waste-manifest-requirements,Hazardous Waste Manifest Requirements,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,,Waste & Materials,hazardous-waste-generator-compliance,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/manifest-requirements,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/manifest-requirements,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS,,
Connecticut v1 Pre-Release / Internal Beta,2026-08-16,57,CT48,ct-biennial-hazardous-waste-reporting,Biennial Hazardous Waste Reporting,Connecticut Department of Energy and Environmental Protection,government-agency,Waste & Materials,,Waste & Materials,hazardous-waste-generator-compliance,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/biennial-reporting,https://portal.ct.gov/deep/waste-management-and-disposal/hazardous-waste/biennial-reporting,"August 13, 2026",HTTP 200,CURRENT,NOT DETECTED,NONE,DISCOVERABLE,PASS WITH NOTE,,Maintained gateway retains a completed reporting-cycle date; ERI copy does not present it as upcoming.
